Id	MachineId	Timestamp	EntryType	Source	Parameter	ExtendedParameter	UserComment	SignalResult	SignalStream	Parameter2	Parameter3	Parameter4	Parameter5	ErrorCategoryId
30804712	1009	2018-02-23 10:01:36.133	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	OSTORE1.SYF			0
30804713	1009	2018-02-23 10:01:36.180	25	401 // VFR // 410976 // DMU 105	MDI			0						0
30804716	1009	2018-02-23 10:01:42.560	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30804717	1009	2018-02-23 10:01:54.307	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30804718	1009	2018-02-23 10:01:54.713	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30804719	1009	2018-02-23 10:01:55.197	25	401 // VFR // 410976 // DMU 105	Automatic			0						0
30804721	1009	2018-02-23 10:01:55.303	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	0001_SL_KF_D6ALT.MPF			0
30804722	1009	2018-02-23 10:01:56.380	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30804724	1009	2018-02-23 10:02:04.587	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30804738	1009	2018-02-23 10:02:20.483	4	401 // VFR // 410976 // DMU 105	120200	120200, Bildaufbereitung unterdrückt, bitte warten.|		0		120200, Bildaufbereitung unterdrückt, bitte warten.|	Idle			0
30804739	1009	2018-02-23 10:02:22.403	5	401 // VFR // 410976 // DMU 105	120200			0						0
